,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
52,16.710056686401366,2.4578733825477124,0.748207950592041,0.08059902536303168,True,120,sqrt,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.7545630250909416,0.7801841210878953,0.7655061329811799,0.7732505914235484,0.7740296535477258,0.7695067048262582,0.008806805426873126,90
62,11.160184574127197,1.6468132635397599,0.5066432952880859,0.05771736874419993,True,100,sqrt,4,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 500)])",0.7558266359342467,0.7818014214419392,0.7646600124766064,0.7715505018998469,0.7733379179162312,0.7694352979337741,0.008724959298238301,91
59,24.636793470382692,3.616573782172193,1.1068509578704835,0.11128215534627675,True,60,sqrt,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7540490739765536,0.7809084630279265,0.7651683936774392,0.7700982735293401,0.7720465431308805,0.768454149468428,0.008820666113583751,92
28,38.80072207450867,5.68084932737627,1.772735357284546,0.18953096136427783,True,100,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7533961282011813,0.7803119759217702,0.7660089442684577,0.7704557607084119,0.7718924586394467,0.7684130535478536,0.008822143212286896,93
53,24.586048316955566,3.6152165544249266,1.1255829334259033,0.12137469926584055,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7536470274890424,0.7812672160964426,0.7650537040937853,0.7694164654746376,0.7726279653990497,0.7684024757105915,0.009091996558562328,94
48,32.00315341949463,5.044250690803779,1.4657483577728272,0.16997671044165416,True,120,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7513780472490703,0.7809441611102559,0.7655175259861786,0.7698405384384799,0.773674424276834,0.7682709394121637,0.009851121044058131,95
63,18.43465414047241,2.734899076264094,0.8385210990905761,0.08727032195192165,True,100,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.753372835835406,0.7812013898453386,0.7652572591164294,0.7696177418962822,0.7718927116517478,0.7682683876690408,0.009090251768165438,96
47,25.611223459243774,3.96231110590297,1.1658976078033447,0.13205993171859717,True,100,sqrt,2,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7527479928056972,0.7798775226644846,0.7662084484448802,0.7696529336228338,0.7726851461791222,0.7682344087434037,0.008958984005582123,97
10,26.818368673324585,3.9910297555509957,1.2643909454345703,0.1442296130853225,True,120,auto,2,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7541503451320981,0.7796851074689503,0.7646159595239445,0.7701127046690053,0.7719582418377599,0.7681044717263515,0.008483902807329803,98
12,20.050626707077026,3.0657446289057453,0.9401166915893555,0.11517862002631414,True,40,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.7522611317254174,0.7796651064157302,0.7641260603089985,0.7702073931994395,0.771716615090109,0.7675952613479389,0.009128645425988291,99
33,12.886028957366943,1.8499115416506096,0.5822460174560546,0.0576378633645305,True,80,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.7518438945645746,0.7794719316865294,0.7639495953204624,0.7684911002908508,0.7728460620026886,0.7673205167730212,0.009278445415907218,100
